Iteration	Nodes
1	720
2	7728
3	45065
4	144801
5	327539
6	585596
7	860873
8	1098658
9	1261290
10	1349937
11	1390742
12	1409270
13	1419021
14	1424408
15	1427071
16	1428219
17	1428498
18	1428552
19	1428555
