Iteration	Nodes
0	112
32	3125
64	15414
96	44034
128	86313
160	128778
192	157789
224	149524
256	123008
288	91492
320	65381
352	47149
384	36255
416	29172
448	24729
480	21508
512	19788
544	18964
576	18773
608	18773
